Envelope,Filename,Language,category,include_in_network,PER_list,LOC_list,ORG_list,PER_count,LOC_count,ORG_count,total_entities
S175,MITRO3-S175-CARTA-002,Spanish,personal_letter,yes,Horroroso;Wavis Baylis;Rieseuer;Consuelo;Angela,Admiralty;Trafalgar Square;Waterloo Bridge;Támesis;Temple;Blackfriars Bridge;Saint Paul's Cathedral;Cerca de Saint Paul's;Génova;París;Hotel California 16 Rue de Berri;New York;Chile;Lima;L.A.M.;Cerrillos;Kew Gardens;Hampton Court;París;New York;París;Versalles;Trianon;Ancud,Mall;Strand;Parlament;Wallace Collection;American Express,5,24,5,34
S176,MITRO3-S176-CARTA-002,Spanish,personal_letter,yes,Mi Lucho;Burberry;Betty;Bye Bye Birdie;Alegre;Betty;Strib;Mamá;Carozzi;Bueno;Henderson;Bartlett;Mamá;Angela;Strib;Mamá;Luise;Raquel;Angela,Regent's Park;Tasmania;Piccadilly;Londres;Chile;Berkeley Buttery;House of Lords;Gran Bretaña;Thanksgiving al Dorchester;París,W.C.;Express;U.S.A,19,10,3,32
S177,MITRO3-S177-CARTA-002,Spanish,personal_letter,yes,Sansevieria;Orly;Orly;Emilio Duhart;Strib;Armagnac;William;Strib;Strib;Mamá;Carmen Amunategui;Rae;Mamá;Betty;Mamá;Angela,Chilean Get;Africa;Mediterráneo;Segovia;Sud Africa;Madrid;Londres;Londres;Westminster Cathedral;Harrods;Londres;Chile;Harrods,Gibraltar;Iglesia,16,13,2,31
S178,MITRO3-S178-CARTA-003,Spanish,personal_letter,yes,Sweetito;Tjark;Joy Grimm;Roland Palmedo;Consuelo;Roland;Betsy;Phil;Sra;Phil;Mamá;Consuelo;Raúl Vial;Alexis Smith;Valerie;Bettis;Dick Nelson;Sra;Roland;Bea;Vial;Roland;Ford Bartlett;Blaise;Raúl Vial;Ford Bartlett;Angela,Long Island;Atlanta;Georgia;Boston;Vermont;Londres;Colony;Rendez Vous;Plaza;Worcester;Pascua,Beta;Hotel;Museum of Modern Art;Whitney;Bus;M.I.T.,27,11,6,44
S179,MITRO3-S179-CARTA-003,Spanish,personal_letter,yes,Strib;N.;Sotheby;Consuelo;Strib;William;Rossi;Strib;Darling;Bradley's;Dile;Mamá;Goya;Henderson;Encantadores;Christie's;Sotheby;Yardley;Jaeger;Strib;Betty;Henry Young;Tiepolo;Turner;Whistler;Tintoretto;Madonna;Madonna;Holbein;Carlo Crivelli;Raphael;Roble Nelson;Consuelo;Carey Street;Henry Young;Strib;Raúl;Beba Coca Cola;Shirley;Melón;Mr;Mrs;Yaya;Juan Francisco González;Misia Isabel;Yaya;Willitze Bannas;Con;Strib;Bayles;Ford Bartlett;Talaito;Felipe;Jaeger;Simpsons;Strib;Del Tate;Epstein;Oliver;Oliver Twist;Dickens;Río;Mamás;Luisa;Raquel;Mamá;Pichidangui;Consuelo;Strib;Oliver;Consuelo;Mamá;Con;Angela,París;York;Paris;Darling;Chelsey;Londres;Old Bond Street;Regent Street;Chile;Suecia;París;New York;New York;Roma;National Gallery;St Catherine of Alexandria;Downing Street;Westminster Abbey;Londres;Buckingham Palace;Trafalgar Square;Londres;Londres;Bruselas;Mayorca;Virginia;Regent Street;París;Santiago;Regent Street;Harrods;Saint James Palace;Saint James Park;Tate;Embankment,London S.W.I;Chase Manhattan Bank;Teatro;Pub;Caledonian Market;Vogue;N° 10;Tate Gallery,74,35,8,117
S57,MITRO3-S57-CARTA-002,German,professional_letter,yes,,,the Master's Course;The Federal Ministry of Education;the Academic Professors' College,0,0,3,3
S54A,MITRO3-S54-CARTA-003-,English,institutional_letter,yes,,,Bankers';BABURIZZA & COMPANY LTD.;JSW/WH,0,0,3,3
S54B,MITRO3-S54-CARTA-004,English,institutional_letter,yes,,,SI/WH,0,0,1,1
S59A,MITRO3-S59-CARTA-002,German,institutional_letter,yes,,,"John Grisar
EBERS & Co.
Division HENGSTENBERG SCHULZ & Co.;the Academic Foreign Office Charlottenburg e.V.",0,0,2,2
S59B,MITRO3-S59-CARTA-003,German,institutional_letter,yes,,,the Secretariat of the Technical University Berlin;Diplom-Ingenieur;Technical University,0,0,3,3
S60,MITRO3-S60-CARTA-002,German,institutional_letter,yes,,,Reichsmark;Registered Mark,0,0,2,2
S61,MITRO3-S61-CARTA-002,Spanish,personal_letter,yes,Chiomüller;Vd.;Ski;Schiller;Goethe;Saalbach;Alfonso;don Antonio;J. Hübner,Salzburg;München;Varsovia;CHILE;Chile;Chile;Viena;Japon;Chile;Weimar;Varsovia;Chile;Egipcia;ABISINIA;CHILE,München;Salzburg,9,15,2,26
S62,MITRO3-S62-CARTA-001,Spanish,personal_letter,yes,Luis;Irarrazaval;Papá;Blanquita,Antofagasta;Europa,Ud;National Geographic Magazine,4,2,2,8
S63,MITRO3-S63-CARTA-001,German,institutional_letter,yes,,,the Technical University of Vienna;Rectorate,0,0,2,2
S68,MITRO3-S68-CARTA-003,German,personal_letter,yes,,Old Europe;Europe,the Paris Exhibition;British India;HAPAG;N D Lloyd,0,2,4,6
S72,MITRO3-S72-CARTA-003,German,personal_letter,yes,,Europe;Rocky Mountains,"the ""Popular Front"";Communist Party;Pepsi;Pepsi;Marks",0,2,5,7
S73,MITRO3-S73-CARTA-002,German,personal_letter,yes,,,,0,0,0,0
S76,MITRO3-S76-CARTA-003,German,personal_letter,yes,,,the MS Dresden,0,0,1,1
S77,MITRO3-S77-CARTA-001,German,personal_letter,yes,,,Bauhaus,0,0,1,1
S78,MITRO3-S78-CARTA-003,German,personal_letter,yes,,,"Radio Paris PTT;WERK;WERK;Swiss Francs;the ""SCHWEIZERISCHE VOLKSBANK;Suisse",0,0,6,6
S79,MITRO3-S79-CARTA-001,German,personal_letter,yes,,Latin America,the Cellulosefabrik Attisholz SA Solothurn;the World Bank;the Cellulose SA;the World Bank;the Cellulosefabrik Attisholz SA;the State Department for Education;Credit Suisse,0,1,7,8
S80,MITRO3-S80-CARTA-003,German,personal_letter,yes,,Rhine,the Vereinigte Deutsche Stahlwerke;United German Steel Works;UFA;Fahrenkamp's;Fahrenkamp,0,1,5,6
S81,MITRO3-S81-CARTA-003,German,personal_letter,yes,,Villa Serdan,"Locanda;Picasso, Matisse, Hodler, Feuerbach;IL CIMICIAIO",0,1,3,4
S82,MITRO3-S82-CARTA-003,German,personal_letter,yes,,,,0,0,0,0
S83,MITRO3-S83-CARTA-003,German,personal_letter,yes,,Africa,Leica;the Ihagee-Werk;Leica;Contax;Zeiss;Zeiss;Harvard;the Schweizerische Bauzeitung;Tonhalle,0,1,9,10
S84,MITRO3-S84-CARTA-002,German,personal_letter,yes,,,Contax;Leica;Rollei,0,0,3,3
S87,MITRO3-S87-DOC-003,Spanish,personal_letter,yes,"Señor
LUIS;Graefin zu Dohne;Querido Luchito;Arturo Junge;Edgar Jensen;Friedrich Vorwerk;Oscar Zirpel;Güldemeister & Co.;De José Ballivian;Irmgard Weinreich de Schmidt;Hilma Weisser de Holz;Edith von Doehren de Jux;Kaethe Reichard;Adriana Barahona de Valck;Edith Hucke;Else von Holleben;Edith Junge;Dr. Haehnert;Director del Deutsche Schule;Dr. Ruehle;Dr. Schroeter;señor Buenger;Winkelmann;Oberstudiendirektor Erwin Winkelmann;Jaenichen;Winkelmann;Berlín-Steglitz Schildhornstrasse;bei Topp;Paul Richard Laudien;Rector de la Fundación Santa María;Luchito;Friedrich Oetzmann;Oberschulrat Erwin Winkelmann Koblenz","Valparaíso;B.
Weimar
Am Horn;Alemania;Europa;Inglaterra;Francia;Chile;Europa;Chile;New York;Ámsterdam;Puerto Montt;Puerto Aysén;Valparaíso;Concepción;Europa;Alemania;Alemania;Alemania;Valparaíso;Chile;Alemania;Alemania;Ciudad de México;Alemania;SIMMERN;Berlín;Zuerich","Alemania;Fundación Federico Santa María;Institución;Banco
Alemán Transatlántico;Banco;Banco;Bolsas de Londres;Colegio Alemán;Hunsrueck;Realgymnasium;Fundación Federico Santa María;Langmauerstrasse 65;Provinzialschulkollegium",33,28,13,74
S88,MITRO3-S88-DOC-001,German,non_epistolary_collected,yes,,Adriatic;Ionian;Aegean Seas;Mediterranean,,0,4,0,4
S89,MITRO3-S89-CARTA-001,English,institutional_letter,yes,,,Academie der Bildenden Künste;the Academy of Vienna,0,0,2,2
S90A,MITRO3-S90-CARTA-002,German,professional_letter,yes,,,,0,0,0,0
S90B,MITRO3-S90-CARTA-003,German,institutional_letter,yes,,,the Academy of Fine Arts;National Socialist Hochschule für Baukunst;National Socialist,0,0,3,3
S91,MITRO3-S91-CARTA-003,German,personal_letter,yes,,the Baltic Sea;the Baltic Sea;Baltic Sea,,0,3,0,3
S92,MITRO3-S92-CARTA-003,German,personal_letter,yes,,,Herrsching b/München;Führer;Führer;Beblo;Raiser,0,0,5,5
S93,MITRO3-S93-CARTA-003,German,personal_letter,yes,,Hintermoos;Alps,,0,2,0,2
S94,MITRO3-S94-CARTA-003,English,personal_letter,yes,,Europe;Coast,SOM,0,2,1,3
S95,MITRO3-S95-CARTA-002,German,personal_letter,yes,,,Swissair,0,0,1,1
S96,MITRO3-S96-CARTA-001,German,personal_letter,yes,,Eifel,the Kleines Walsertal;Ford;the Non-Intervention Committee's,0,1,3,4
S97,MITRO3-S97-CARTA-002,German,personal_letter,yes,,Himalayas;Mt. Everest,Royal Nepal Airlines,0,2,1,3
S98A,MITRO3-S98-CARTA-002A,Spanish,personal_letter,yes,Querido Lucho;Eugenia Bund;Aka Heil Kitty,,,3,0,0,3
S98B,MITRO3-S98-CARTA-002B,Spanish,personal_letter,yes,"Querido Lucho;Tomás Hager
Portillo",,,2,0,0,2
S99,MITRO3-S99-CARTA-002,English,personal_letter,yes,,Ischia,,0,1,0,1
S100,MITRO3-S100-CARTA-001,English,personal_letter,yes,,,Golf Club Los Leones,0,0,1,1
S102,MITRO3-S102-CARTA-002,English,personal_letter,yes,,,Medicare;Janet & Fred,0,0,2,2
S103,MITRO3-S103-CARTA-002,German,personal_letter,yes,,Lake Atitlan,,0,1,0,1
S104,MITRO3-S104-CARTA-003,English,personal_letter,yes,,,ILA;ILA,0,0,2,2
S105,MITRO3-S105-CARTA-001,Spanish,personal_letter,yes,Bamiyan;Balkh;Alejandro el Grande;Genghis Khan;Strib;Lucho,"Hotel Inter-Continental Kabul
Bag;Bala Road;Kabul;Afghanistan;Washington;Kabul;Santiago;Pamir;Asia;Asia Menor;Europa;valle Bamiyan;Beirut;Kabul;Washington",U.S.A.,6,15,1,22
S106,MITRO3-S106-CARTA-001,Spanish,personal_letter,yes,Lucy Pereira;Pancho Petrinovich U$200;Connie;Pancho;Milena;Banac;Lucho,STA;Georgia;Piti Santa Cruz;Dalmacia;Sarajevo,LUCIA,7,5,1,13
S107,MITRO3-S107-CARTA-002,Spanish,personal_letter,yes,Lucho;Supe;Exequiel;Agustín;Ismael Echeverría;Larraín;Arteaga;Sergio;Charo;Luis Valdés;Tito Ceballos;Roberto Dávila Carson;Roberto Matta;Mario;Mario Matta;Juan Zailes;Blanca Bulnes;Nena;Talao;Talao;Roberto;Talao;Mateo;Victoria Subercaseaux,Viena;New York;Olimpo Metro Goldwyn Mayer;San Vicente de Tagua Tagua;Chimbarongo;La Paz;Viña;Gran Hotel;Paz;Algarrobo;Titina;España;Madrid;Hamburgo;Algarrobo;Alemania;Rusia;California;Nueva York;Chile,Sky Club;Checa;Rudder;Auto;Estados Unidos,24,20,5,49
S108,MITRO3-S108-CARTA-001,German,personal_letter,yes,,,the German Embassy,0,0,1,1
S185,MITRO3-S185-CARTA-003,German,personal_letter,yes,,,the School of Arts and Crafts,0,0,1,1
S109,MITRO3-S109-CARTA-001,German,personal_letter,yes,,Europe;Europe,,0,2,0,2
S110,MITRO3-S110-CARTA-003,Spanish,personal_letter,yes,"Querido Lucho;Harding;Falce;Chavela;Roberto;Chop;Mario;Roberto;Matuco
De España;Toledo;Sastre;Wicoll;Manuel;Tata","Hotel Pierre 1er;Champs-Elysées;Avue Pierre 1er;Serbie
Paris
Paris;Madrid;Yugoslavia;Chile;La Paz;Algarrobo;Madrid;Chile;Chile;Londres;Regent Street;Viena;Cumberland;Mount Royal;Marble Arch",,14,18,0,32
S111,MITRO3-S111-CARTA-002,German,personal_letter,yes,,Danube,Burberry,0,1,1,2
S113,MITRO3-S113-CARTA-003,Spanish,personal_letter,yes,"Señor
Luis Mitrovich;Querido Lucho;Mil;Diaz Casanueva;Ministro Ross;Adiós;Gonzalo",Hamburg;Viena;Chile;Chile;Chile,Consulado,7,5,1,13
S114,MITRO3-S114-CARTA-003,Spanish,personal_letter,yes,Señor Don Luis Mitrovich;Álvarez;Gonzalo,Jena;Weimar;Jena,Ministerio de Educación de Chile;Ministerio de Educación;Ministerio de Hacienda;Contraloría Nacional;Universidad;Gobierno de Chile,3,3,6,12
S115,MITRO3-S115-CARTA-003,Spanish,personal_letter,yes,Díaz Casanueva;Díaz;Navarro;Ministro de Hacienda;Grove;Gonzalo;Prof,Chile;París;Chile;Chile;Chile,P. Radical;Mov;Nacionalsocialista;Partido,7,5,4,16
S116,MITRO3-S116-CARTA-003,Spanish,personal_letter,yes,Querido Lucho;Álvarez;Dios;Rector;Álvarez;Gonzalo,Jena;Jena,Rector;Universidad,6,2,2,10
S117,MITRO3-S117-CARTA-003,Spanish,personal_letter,yes,"Querido Mitrovich;Ud;Registermark;Gonzalo
Si;Suceso;Zig-Zag;Perdone",Jena;Weimar;Turingia;Baviera;Weimar;Jena;Victoria;Alemania;Austria,Ud.;Ud;Ud;Ud;Ud;Ud;Ud;Ud.,7,9,8,24
S118,MITRO3-S118-CARTA-003,Spanish,personal_letter,yes,Secretario del Rector;Álvarez;Álvarez;Dios;Gonzalo;Álvarez,Jena;Chile,Universidad;Rector,6,2,2,10
S119,MITRO3-S119-CARTA-003,Spanish,personal_letter,yes,Don Luis Mitrovich B.;Díaz Casanueva;Registermark;Frachtgut;Rector de la Universidad;Latorre Salamanca,Jena;Viena;Alemania;Europa;Hamburgo;Hamburgo;Hamburgo;Londres;Registermark;Jena;Jena;Jena;Hamburgo;Santiago;Chile;Europa;Jena;Chile;Chile;Legación;Chile;Enero;Hamburgo,"Vapor ""Ammon"";Libras Esterlinas;Embajador Porto-Seguro;Universidad de Santiago;Bürgemeister;Frente Popular;Socialistas;Comunistas;Consulado de Chile",6,23,9,38
S120,MITRO3-S120-CARTA-003,Spanish,personal_letter,yes,Don Luis Mitrovich Balbontin;Querido Lucho;Registermark;G. Latorre Salamanca,Jena;Viena;Hamburgo;Jena;Santiago;Chile;Santiago;Alemania;Chile;Jena,Ministerio del Interior de Chile;Reichsbank;Registerguthaben;Tesorería;Universidad del Estado;Frente Popular;Legación,4,10,7,21
S121,MITRO3-S121-CARTA-001,German,personal_letter,yes,,,,0,0,0,0
S122A,MITRO3-S122-CARTA-003,Spanish,personal_letter,yes,"Querido Chiemüller;Alberto;General Novoa;Alessandri;Mocicki;Herrn Alfonso;S.S.;A.
Jorge Hübner",Varsovia;Alemania;Viena;Alemania;Polonia;Chile;Santiago;calle Ahumada;Chile,Austria;Polonia,8,9,2,19
S122B,MITRO3-S122-CARTA-006,Spanish,personal_letter,yes,Chick Müller;Ofelia,,Ud,2,0,1,3
S122C,MITRO3-S122-CARTA-007 ,Spanish,personal_letter,yes,"Señor Jorge Hübner
Varsovia;Preciosa;Doctor Pangloss;Santiago;Doctor;Ofelia;S.;G Diaz",Santiago;Santiago;Villa del Huelen;San Cristóbal;Alameda;Santa Bárbara;Suiza;Reino de Pluto;Zurich;Santiago;Chañaral;Viña del Mar;Santiago;calle Bilbao;esquina Román Díaz;Señora Dallera,Correo 15;Caja de Crédito Minero;Salado;Ud,8,16,4,28
S194,MITRO3-S194-CARTA-002,Spanish,personal_letter,yes,Profeta Isaire;Echenique;Juan;Pilola,Congonhas do Campo;Aleijadinho,"Prophet Isaire
Brasil",4,2,1,7
S195,MITRO3-S195-CARTA-003,Spanish,personal_letter,yes,Querido Lucho;Latorre;Arturo Irarrázabal;Marchant;Mattita;Don Luis;Dios;María;Mariti;Vd,CHILE;Estocolmo;Viena;Viena;Europa,,10,5,0,15
S196A,MITRO3-S196-CARTA-004,English,institutional_letter,yes,,,"BABURIZZA & Co;National 9104;Baburizza, Stock;S. Ireland;Banker's;Salzburger Kredit- und Wechsel-Bank;Register Marks;BABURIZZA & COMPANY LTD.;JSW/WH",0,0,9,9
S196B,MITRO3-S196-CARTA-003,English,institutional_letter,yes,,,"BABURIZZA & Co;National 9104;Baburizza, Stock;S. Ireland;Banker's;the Salzburger Kredit- und Wechsel-Bank;Register Marks;the Diskonto-Gesellschaft;Reserve;BABURIZZA & COMPANY LTD.;JSW/WH",0,0,11,11
S197,MITRO3-S197-CARTA-003,English,personal_letter,yes,,Keukenhof,,0,1,0,1
S198,MITRO3-S198-CARTA-003,English,personal_letter,yes,,Europe,the British Royal Air Force;KLM;Cessna's;Frasca;American,0,1,5,6
S199,MITRO3-S199-CARTA-003,English,personal_letter,yes,,Europe,Sony Videocamera,0,1,1,2
S200,MITRO3-S200-CARTA-003,English,personal_letter,yes,,Europe;Europe,KLM;Christian Society;KLM,0,2,3,5
S202,MITRO3-S202-CARTA-001,English,personal_letter,yes,,Northern Chile;Pan de Azucar;the Pacific Ocean;Pacific;Humbolt;Pan de Azucar;a National Fauna;Flora Preservation Park;Andes;the South Lake District;Lake Villarrica;Lake Rupanco;South;Volcano Villarrica;Rupanco Volcano Osorno;Cerro Punteagudo;Dolomites,Chevrolet,0,17,1,18
S25A,MITRO3-S25-DOC-009,English,non_epistolary_collected,yes,,,Tourism Projects Department;World Bank;IBRD Loan;Bank;Ministry;Bank;TAC-TUKAN;TAC;Bank;Bank,0,0,10,10
S25B,MITRO3-S25-DOC-011,English,professional_letter,yes,,South America,"TAC
THE ARCHITECTS COLLABORATIVE INC.;The Architects Collaborative Inc.;The Architects Collaborative;THE ARCHITECTS COLLABORATIVE Inc.;JCH:MGC
46 Brattle Street",0,1,5,6
